Literal Value,Hazard Type,Location,Impact,Suggested Remediation
https://doi.org/{doi},Hardcoded URL/Endpoint,src\academic_v2\librarian.py:158,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
120.0.0.0,Hardcoded IP,src\acquisition\paper_downloader.py:113,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://arxiv.org/pdf/{paper.arxiv_id}.pdf,Hardcoded URL/Endpoint,src\acquisition\paper_downloader.py:198,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://content.openalex.org/works/{paper.openalex_id}.pdf,Hardcoded URL/Endpoint,src\acquisition\paper_downloader.py:216,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://arxiv.org/pdf/{paper.arxiv_id}.pdf,Hardcoded URL/Endpoint,src\acquisition\paper_downloader.py:411,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://info.arxiv.org/help/api/index.html,Hardcoded URL/Endpoint,src\acquisition\api_clients\arxiv_client.py:5,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://www.w3.org/2005/Atom,Hardcoded URL/Endpoint,src\acquisition\api_clients\arxiv_client.py:25,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://arxiv.org/schemas/atom,Hardcoded URL/Endpoint,src\acquisition\api_clients\arxiv_client.py:26,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://export.arxiv.org/api/query,Hardcoded URL/Endpoint,src\acquisition\api_clients\arxiv_client.py:70,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://arxiv.org/pdf/{arxiv_id_base}.pdf,Hardcoded URL/Endpoint,src\acquisition\api_clients\arxiv_client.py:274,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.crossref.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\crossref.py:5,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.crossref.org/swagger-ui/index.html,Hardcoded URL/Endpoint,src\acquisition\api_clients\crossref.py:26,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.crossref.org,Hardcoded URL/Endpoint,src\acquisition\api_clients\crossref.py:33,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://docs.openalex.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:5,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.openalex.org,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:73,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:316,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:414,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:415,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/{doi},Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:421,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:444,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:445,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://www.semanticscholar.org/product/api,Hardcoded URL/Endpoint,src\acquisition\api_clients\semantic_scholar.py:5,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.semanticscholar.org,Hardcoded URL/Endpoint,src\acquisition\api_clients\semantic_scholar.py:70,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\semantic_scholar.py:342,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\semantic_scholar.py:343,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\semantic_scholar.py:394,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\semantic_scholar.py:395,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://unpaywall.org/products/api,Hardcoded URL/Endpoint,src\acquisition\api_clients\unpaywall.py:5,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.unpaywall.org/v2,Hardcoded URL/Endpoint,src\acquisition\api_clients\unpaywall.py:45,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\unpaywall.py:109,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\unpaywall.py:110,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\unpaywall.py:176,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\unpaywall.py:177,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://arxiv.org/pdf,Hardcoded URL/Endpoint,src\acquisition\downloaders\arxiv_downloader.py:27,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://arxiv.org/abs/2301.12345,Hardcoded URL/Endpoint,src\acquisition\downloaders\arxiv_downloader.py:57,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://content.openalex.org/works/{openalex_id}.pdf,Hardcoded URL/Endpoint,src\acquisition\downloaders\openalex_content.py:21,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://content.openalex.org/works,Hardcoded URL/Endpoint,src\acquisition\downloaders\openalex_content.py:25,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://openalex.org/W12345,Hardcoded URL/Endpoint,src\acquisition\downloaders\openalex_content.py:59,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.unpaywall.org/v2,Hardcoded URL/Endpoint,src\acquisition\downloaders\unpaywall_downloader.py:25,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\downloaders\unpaywall_downloader.py:59,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://doi.org/,Hardcoded URL/Endpoint,src\acquisition\downloaders\unpaywall_downloader.py:60,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://dx.doi.org/,Hardcoded URL/Endpoint,src\acquisition\downloaders\unpaywall_downloader.py:61,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://dx.doi.org/,Hardcoded URL/Endpoint,src\acquisition\downloaders\unpaywall_downloader.py:62,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
en_stem,Hardcoded Secret/Token,src\indexing\bm25_tantivy.py:33,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://sme_ollama:11434).,Hardcoded URL/Endpoint,src\indexing\embedder.py:30,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://qdrant:6333,Hardcoded URL/Endpoint,src\indexing\qdrant_optimizer.py:591,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://{host}:{port}/readyz,Hardcoded URL/Endpoint,src\indexing\qdrant_optimizer.py:730,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.openalex.org/works,Hardcoded URL/Endpoint,src\ingestion\metadata_enricher.py:20,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/{doi},Hardcoded URL/Endpoint,src\ingestion\metadata_enricher.py:77,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/{doi},Hardcoded URL/Endpoint,src\ingestion\metadata_enricher.py:106,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\ingestion\metadata_enricher.py:115,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/{doi},Hardcoded URL/Endpoint,src\retrieval\context_builder.py:119,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/{doi},Hardcoded URL/Endpoint,src\retrieval\context_builder.py:213,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://arxiv.org/abs/2212.10496,Hardcoded URL/Endpoint,src\retrieval\hyde.py:8,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://sme_ollama:11434,Hardcoded URL/Endpoint,src\retrieval\reranker.py:52,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/{doi},Hardcoded URL/Endpoint,src\retrieval\sequential\generation.py:527,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/{doi},Hardcoded URL/Endpoint,src\utils\apa_resolver.py:117,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/{doi},Hardcoded URL/Endpoint,src\utils\apa_resolver.py:149,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/{doi},Hardcoded URL/Endpoint,src\utils\apa_resolver.py:180,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/{doi},Hardcoded URL/Endpoint,src\utils\apa_resolver.py:187,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/data/,Absolute System Path,src\utils\feedback_logger.py:16,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/{doi}.,Hardcoded URL/Endpoint,src\utils\reference_splitter.py:117,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/data/,Absolute System Path,scripts\analyze_metadata_coverage.py:13,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/app/,Absolute System Path,scripts\debug_pdf.py:48,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/app/,Absolute System Path,scripts\monitor_resources.py:121,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/data/,Absolute System Path,scripts\pipeline_api.py:21,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/data/,Absolute System Path,scripts\pipeline_api.py:106,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
0.0.0.0,Localhost binding,scripts\pipeline_api.py:236,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://sme_ollama:11434,Hardcoded URL/Endpoint,scripts\verify_remote.py:17,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/data/,Absolute System Path,dashboard\backend\audit_logger.py:14,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/data/,Absolute System Path,dashboard\backend\auth.py:29,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://sme_app:8000,Hardcoded URL/Endpoint,dashboard\backend\command_runner.py:17,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://sme_qdrant:6333/collections,Hardcoded URL/Endpoint,dashboard\backend\command_runner.py:105,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/data/,Absolute System Path,dashboard\backend\config_manager.py:23,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/data/,Absolute System Path,dashboard\backend\db_reader.py:18,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/data/,Absolute System Path,dashboard\backend\db_reader.py:129,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/data/,Absolute System Path,dashboard\backend\db_reader.py:259,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
0.0.0.0,Localhost binding,dashboard\backend\main.py:129,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://0.0.0.0:8400/docs,Hardcoded URL/Endpoint,dashboard\backend\main.py:129,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://sme_qdrant:6333,Hardcoded URL/Endpoint,dashboard\backend\main.py:159,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://sme_gpu_exporter:8401/metrics,Hardcoded URL/Endpoint,dashboard\backend\metrics_collector.py:40,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://sme_qdrant:6333,Hardcoded URL/Endpoint,dashboard\backend\qdrant_client.py:18,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
/app/,Absolute System Path,dashboard\backend\routes\ws_routes.py:63,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://www.w3.org/2000/svg,Hardcoded URL/Endpoint,app\main.py:848,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://www.w3.org/2000/svg,Hardcoded URL/Endpoint,app\main.py:849,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://www.w3.org/2000/svg,Hardcoded URL/Endpoint,app\main.py:1050,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://www.w3.org/2000/svg,Hardcoded URL/Endpoint,app\main.py:1051,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://www.w3.org/2000/svg,Hardcoded URL/Endpoint,app\components\welcome_screen.py:56,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://www.w3.org/2000/svg,Hardcoded URL/Endpoint,app\components\welcome_screen.py:63,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://www.w3.org/2000/svg,Hardcoded URL/Endpoint,app\components\welcome_screen.py:70,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
